Comment,Sentiment,Emotion,Confidence,Index
Killer smile handsome look,Positive,Joy,0.8944122195243835,73
Awsm Vijay my fvrt love him a lot,Positive,Joy,0.9751858115196228,74
Same 2 same Kabir singh movie v aisa banaya gaya,Neutral,Curiosity,0.8533509373664856,75
Vijay devarakonda expression and shalini's cute innocence❤,Positive,Excitement,0.9464761018753052,76
Alphons ❤️,Positive,Joy,0.9473386406898499,77
A great song.,Positive,Excitement,0.9727404117584229,78
Dhruv and Vijay's acting seems better than Shahid Kapoor...,Positive,Joy,0.7526099681854248,79
Aditya varma is best among the three movies .all r experienced but Dhruv is first attempt but better than these two,Positive,Excitement,0.8941283226013184,80
"WHAT A PERFECTTTTTT EXAMPLE OF TOXIC LOVE!!

BUT VIJAY PERSONALLY IS AWSOME",Positive,Admiration,0.9719997644424438,81
Ldki koi or lete movie me vijay ke sath👍,Neutral,Calm,0.6799634695053101,82
My favourite actor Vijay Devarakonda 👍❤️,Positive,Admiration,0.9805561900138855,83
I love vijay devarakonda ❤,Positive,Admiration,0.977689802646637,84
Baik  marketing.,Neutral,Indifferent,0.7798953056335449,85
"Stupid movie with such deregotary comments. Censor board should not have allowed this. What does it mean by ""fat chicks "".....this movie really puts down women. Sickening",Negative,Sadness,0.9515334963798523,86
Others was acting but Vijay was living 😍,Positive,Admiration,0.8387390375137329,87
Lante,Neutral,Calm,0.7314916849136353,88
Subscribe to my YouTube ❤️,Positive,Excitement,0.8817476034164429,89
Emitemitemito = Kaise Hua ❤️❤️,Positive,Joy,0.9449665546417236,90
I love ths move 😍😍😍😍,Positive,Joy,0.9821617603302002,91
Vijay fans hit a like,Neutral,Curiosity,0.611966073513031,92
I like Vijay,Positive,Joy,0.7554507255554199,93
Vijay Devarakonda fan like ✌️✌️,Positive,Excitement,0.7775263786315918,94
hero is handsome heroine is not pretty enough to fit with him,Neutral,Curiosity,0.5154641270637512,95
This song is not good better to watch kaise hua who like kaise hua please like here,Negative,Sadness,0.9025933742523193,96
Thumbnail...why does everyone look like sushant..I'm taking a long break from media,Negative,Anger,0.6284502744674683,97
Nice attitude off this,Positive,Excitement,0.8564213514328003,98
Arjun Reddy is the best movie you can make remakes but original is best love from Maharashtra Vijay rowdy boy,Positive,Excitement,0.9508479833602905,99
I love u ❤️❤️❤️  brother,Positive,Excitement,0.9807512760162354,100
Manam arjun reddy is arjun reddy....rest of sugarless...,Neutral,Curiosity,0.7859273552894592,101
𝙎𝙪𝙥𝙚𝙧 𝙢𝙮 𝙧𝙤𝙬𝙙𝙮,Neutral,Curiosity,0.7874081134796143,102
I don't understand a single line but I love vijay,Positive,Joy,0.7522062063217163,103
Vijaya only for rashmika❤❤❤,Positive,Joy,0.8582152724266052,104
Pls dont forget to attatcd English subtitle 🇧🇩🇧🇩🇧🇩,Neutral,Calm,0.7296010255813599,105
I loue  song,Positive,Joy,0.5219393372535706,106
Always Arjun Reddy is the best,Positive,Excitement,0.9647167921066284,107
Is this the song kaise hua from Kabir singh??,Neutral,Indifferent,0.9346112608909607,108
preeti is emotion,Neutral,Indifferent,0.7377078533172607,109
Hi,Neutral,Indifferent,0.46406546235084534,110
Love this movie❤❤❤,Positive,Excitement,0.9852818846702576,111
Vijay su,Neutral,Curiosity,0.6834566593170166,112
Avalude attendance avente achan kodukko....,Neutral,Curiosity,0.910500705242157,113
"I hate his attitude how he said two girls to get up and go back
Pathetic person",Negative,Anger,0.9268032908439636,114
arjun reddy,Neutral,Curiosity,0.8075971603393555,115
Vijay devarakonda☺,Positive,Admiration,0.8815138339996338,116
I am not getting a single word but still I see this song 3 times in a day 😜😊,Positive,Admiration,0.7952911853790283,117
Full movie dalo yaar hindi me,Neutral,Indifferent,0.8522034287452698,118
Kabir Singh🔥🔥🔥,Positive,Joy,0.9165766835212708,119
The boy treated the girl as his property ..n do whatever he want to do n the gril is excepting all his physco behaviour ....asse karke agar real mai Kisi larki ko mile tho her lyf will Ruined.....,Neutral,Calm,0.5504207611083984,120
Never seen such a Faltu movie till date 😖😖,Negative,Anger,0.6380523443222046,121
Can somebody translate to English....plz...,Neutral,Calm,0.7343907356262207,122
Neku🙏🙏🙏🙏,Positive,Admiration,0.6109639406204224,123
I'm fan of vijay & rashmika from Pakistan 🌟,Positive,Joy,0.9311983585357666,124
Koi to dedo rayyy plsss yh movie hindi me link dedo plssss😁😁😁😁😁😁😁😁 dhund dhund k preash  hogai bu ni mil ri h hindu me 😢😢😢,Positive,Joy,0.7431310415267944,125
which college it is??,Neutral,Curiosity,0.9323369264602661,126
My favorite acterr Vijay daverakounda,Positive,Excitement,0.9599239230155945,127
Kaise hua is the hindi version of this,Neutral,Calm,0.8759177923202515,128
Ithe movie thana Adhiya Varma movie😍 nice,Positive,Joy,0.9720970988273621,129
Who i here after athithya varma realese,Neutral,Curiosity,0.8478257656097412,130
4:00  what was topic?,Neutral,Calm,0.9559957981109619,131
Fuck of same music,Negative,Disgust,0.9020671248435974,132
First time shahid did same acting,Neutral,Indifferent,0.8283282518386841,133
Nice bro,Positive,Joy,0.8848461508750916,134
Kabir singh me ye seen par ye song hai kese hua 😁,Neutral,Indifferent,0.5305572152137756,135
In medical college it's not possible until both are fall in love,Neutral,Curiosity,0.6847989559173584,136
Vijay handsome guy,Positive,Joy,0.9440502524375916,137
God of telugu cenima vijay,Positive,Joy,0.7960216999053955,138
I hate self assertive men,Negative,Anger,0.867124617099762,139
A good looking chick & a fat chick deadly combination.....super 🌹 rowdy ur always rowdy baby,Neutral,Indifferent,0.3758537173271179,140
The background music of this song and kaise hua from kabir singh is same... anyone notice...,Neutral,Indifferent,0.8568739891052246,141
I liked kabir singh..... I felt more emotions from that.....So kabir singh is most beautiful than the others,Positive,Excitement,0.9738369584083557,142
Kabir singh hindi remake movie,Neutral,Indifferent,0.8942023515701294,143
Vijay😍😘,Positive,Joy,0.9806205630302429,144
I like the song,Positive,Excitement,0.8441005349159241,145
I don't find the girl appealing for the role,Negative,Disgust,0.7048664093017578,146
"Hell hostel warden...where r u
Check what's happening plz...
U can never ever expect in any University
Let's enjoy",Negative,Disgust,0.7730903029441833,147
who is after realease on Adhitya varma💖✨️,Positive,Excitement,0.5155619978904724,148
Guys like this are kind of scary .. i would not ever date such guy,Negative,Disgust,0.9244281053543091,149
What ever movies Come & go  but this will remain the best,Positive,Joy,0.8771454691886902,150
She's looks like a teddy 🐻,Neutral,Curiosity,0.603230357170105,151
Kabir  singh  uff  real seen  is  ever  still  Arjun reddy  good,Neutral,Indifferent,0.555720329284668,152
even that actress was fat.,Negative,Disgust,0.8796840310096741,153
"Respect other girls  also not only the one u love,!",Positive,Joy,0.6611549258232117,154
Any Vijay devarakonda fans,Neutral,Indifferent,0.8966027498245239,155
Same movie kabir Singh 🙄🤐🤔,Neutral,Calm,0.5426453351974487,156
love it,Positive,Joy,0.832848310470581,157
👍👍👌👌🌹😊🙏,Positive,Joy,0.9651691913604736,158
"“You see this fat chicks they are like teddy bears”-
This so disturbing and scary. I would not be interested to interact with someone who thinks like this. Be it a man or a woman",Negative,Sadness,0.9117335677146912,159
Mind blowing.....not kabir singh aditiya varma what ever....arjun reddy is arjun reddy 😍😍😍,Positive,Admiration,0.8488370180130005,160
Anyone after dear comrade,Neutral,Calm,0.8675323724746704,161
First 2 min waste to say sit on first bench and then take her out to teach..,Neutral,Indifferent,0.5902976393699646,162
Its song is heart touching 😭😭😭😭😭😢😢😢😢😢😢🙁🙁🙁,Positive,Excitement,0.8100990653038025,163
Big lovee for this song and him😍❤️,Positive,Excitement,0.9856531620025635,164
"Which is best? 
Kabir sing? Or arjun reddy? 😍😍",Positive,Excitement,0.8504718542098999,165
Love Arjun,Positive,Joy,0.8870266079902649,166
👌👌💖💖👍👍❤❤🌷🌷,Positive,Excitement,0.9687501192092896,167
Am I the only one who loves her brows,Positive,Admiration,0.9412179589271545,168
Pura same copy kiya 😂,Neutral,Indifferent,0.8114141225814819,169
Real love,Positive,Joy,0.6854657530784607,170
Kabir singh songs are awesome,Positive,Excitement,0.9797875881195068,171
Vijay  and shalini is best pair yar..y dt rashmika is kebab me khadi....I dont like rashmika acting with him ..,Negative,Sadness,0.7255684733390808,172
Kabir singh is copied? WTF 😮,Negative,Sadness,0.5834638476371765,173
Here after watching Kabir Singh n now I can understand even without getting thhis language.. well 😍,Positive,Admiration,0.9024861454963684,174
Original will always be original nd the feel of arjun reddy can never be made again by anyone,Neutral,Calm,0.6621468663215637,175
"Kabir Singh brought me here!!
But this is original :)",Positive,Excitement,0.868675947189331,176
Just asking ... does that girl shruti have some role in the film?,Neutral,Curiosity,0.9409597516059875,177
Kaise hua.... Kaise hua ye song remake!,Neutral,Calm,0.7731468081474304,178
Kabir singh is best,Positive,Excitement,0.9417785406112671,179
super songs,Positive,Joy,0.9143148064613342,180
"After watching Kabir singh,😎",Positive,Excitement,0.6665777564048767,181
"Whenever I was searching for Kabir Singh then I came to know about this film. Great story ""Arjun Reddy""..👍👍👍👍👍👍",Positive,Excitement,0.9654863476753235,182
Body structure n height matches wid sid bt acting wise shahid nailed it!!! 👏,Positive,Excitement,0.918199360370636,183
Kabir Singh toh Puri copy paste h 🙄,Neutral,Calm,0.616737425327301,184
Who else is after watching Kabir Singh.. Hit a like👍,Positive,Admiration,0.5457724928855896,185
Can anybody act so smart with other girls and get away with it in real life? It is pure arrogance glorified. I am talking only about this scene.,Negative,Sadness,0.7545690536499023,186
"Kabir singh is nice movie
Arjun reddy is emotion",Positive,Excitement,0.8804961442947388,187
Topic- upper thorax....Nd then his expression....🤣🤣🤣🤣,Neutral,Calm,0.7383235096931458,188
Keise hua keise hua,Neutral,Calm,0.7402614951133728,189
Plz upload arjun reddy movie hindi dubbed,Neutral,Indifferent,0.7857626676559448,190
No one can dominate arjun reddy...😎,Neutral,Curiosity,0.5453436374664307,191
What a fuckin racist asshole this arjun reddy and kabir singjh is. Fuck you. Pretty girl+ fat chick woww fucker.,Negative,Sadness,0.9579666256904602,192
Kabir sing,Neutral,Calm,0.7758820056915283,193
Kiara nd shahid lovely actors 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍,Positive,Admiration,0.9817259907722473,194
This full movie is just like kabir sing movie one one sence,Negative,Sadness,0.5210456848144531,195
Kiara is better and more natural than her😇,Positive,Excitement,0.7830479741096497,196
Who’s watching after kabir Singh ??👍,Neutral,Calm,0.735855221748352,197
one of my fav movie i watch this movie 4 times and kabir singh 3 times both are best on their level.,Positive,Joy,0.9811974167823792,198
so many remakes and dubbings of this movie may come and go...bt arjun reddy remains the best😍😍😍😍,Positive,Admiration,0.9741786122322083,199
Sexist movie,Negative,Disgust,0.5270217657089233,200
